formula,chemsys,spg_number,spg_symbol,Total Energy(eV),Bulk Modulus(GPa),Shear Modulus(GPa),Youngs Modulus(GPa),Poisson Ratio,Bulk/Shear Ratio,nsites,DeltaE/atom,Volume/atom,a,b,c,alpha,beta,gamma,volume,density,density_atomic
Ac2Mg,Ac-Mg,12,C2/m,-19.508618,28.861,19.581,47.779,0.224,1.702,6,-0.117073167,38.70666667,7.459171,7.459171,8.270315,73.904198,73.904198,32.117466,234.2415432,6.781411421,39.0402572
Ac2Mg,Ac-Mg,139,I4/mmm,-9.755256,28.794,19.355,47.307,0.226,1.72,3,-0.117388833,38.70666667,4.119387,4.119387,7.482416,105.995538,105.995538,89.93933,116.94436,6.79164124,38.98145334
Ac2Mg,Ac-Mg,63,Cmcm,-19.450829,26.428,14.322,36.226,0.272,2.279,6,-0.107441667,38.895,9.578804,9.578804,6.02795,90,90,154.813174,235.3772407,6.748691045,39.22954012
AcMg,Ac-Mg,221,Pm-3m,-5.738771,31.146,19.26,47.734,0.245,1.922,2,-0.161985125,34.89,4.124682,4.134536,5.831679,90,45.05481,90,70.38999452,5.92842453,35.19499726
AcMg3,Ac-Mg,225,Fm-3m,-8.821842,34.044,19.236,48.55,0.262,1.852,4,-0.138504313,28.6275,5.442208,5.442208,5.442208,119.926219,119.926219,90.127839,114.1019953,4.364696453,28.52549883
Ba2Mg17,Ba-Mg,166,R-3m,-30.567374,30.495,8.726,23.452,0.372,6.77,19,0.060318342,26.76263158,8.009913,8.00991,8.009903,82.990206,82.990167,82.99025,503.2476095,2.269625349,26.48671629
Ba6Mg23,Ba-Mg,225,Fm-3m,-48.233666,24.606,14.485,36.327,0.254,1.702,29,0.240147086,30.40241379,10.743711,10.743711,10.74371,60.000003,60.000003,60.000002,876.8957475,2.618882967,30.2377844
BaMg,Ba-Mg,51,Pmma,-7.049895,16.106,6.889,17.104,0.323,7.892,4,0.816461875,41.635,4.394325,6.199732,6.196448,90,90,90,168.8137783,3.17979081,42.20344458
BaMg2,Ba-Mg,194,P6_3/mmc,-20.567518,21.784,12.057,30.536,0.266,1.816,12,0.480834583,33.87916667,6.644726,6.644726,10.582119,90,90,120.000016,404.6293498,3.052231901,33.71911249
Ca2Mg,Ca-Mg,63,Cmcm,-11.045905,22.094,16.913,40.385,0.195,1.417,6,-0.027416167,34.99166667,6.336228,6.336228,5.945419,90,90,120.25686,206.179163,1.682629504,34.36319384
Ca2Mg,Ca-Mg,12,C2/m,-11.030746,21.958,10.554,26.72,0.297,3.576,6,-0.024889667,35.07666667,7.312164,7.312164,8.13958,74.19023,74.19023,30.241952,210.282184,1.649798078,35.04703066
